Exercise,Required_Metrics,left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,spine,left_wrist,right_wrist,left_ankle,right_ankle,head
Pushups,"left_shoulder,right_shoulder,left_elbow,right_elbow","170-45,5","170-45,5","65-0,5","65-0,5",,,,,,,,,,,,
InclinePress,"left_shoulder,right_shoulder,left_elbow,right_elbow","40-155,5","40-155,5","55-175,8","55-175,8",,,,,,,,,,,,
Press,"left_shoulder,right_shoulder,left_elbow,right_elbow","40-165,5","40-165,5","55-170,5","55-170,5",,,,,,,,,,,,
Barbell upright,"left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist","178-5,5","175-5,5","15-137,5","14-141,5",,,,,,,,"177-150,5","178-151,5",,,
Barbell T Row,"left_shoulder,right_shoulder,left_elbow,right_elbow","172-110,5","174-100,5","12-25,5","17-26,5",,,,,,,,,,,,
Machine Face Pull,"left_shoulder,right_shoulder,left_elbow,right_elbow","178-125,5","178-80,5","102,175,5","105-170,5",,,,,,,,,,,,
DeclinePress,"left_shoulder,right_shoulder,left_elbow,right_elbow","40-175,5","40-175,5","55-165,5","55-165,5",,,,,,,,,,,,
CableFly,"left_shoulder,right_shoulder,left_elbow,right_elbow","75-165,5","75-165,5","25-75,5","25-75,5",,,,,,,,,,,,
PecFly,"left_shoulder,right_shoulder,left_elbow,right_elbow","30-155,5","30-155,5","30-90,5","30-90,5",,,,,,,,,,,,
singlearm Pulldown,"left_shoulder,right_shoulder,right_wrist,left_wrist","160-80,5","160-80,5",,,,,,,,,,"167-145,5","167-150,5",,,
Bent Over ,"left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist","166-155,5","161-111,5","40-23,5","19-50,5",,,,,,,,"150-135,5","171-150,5",,,
Deadlift,"left_shoulder,right_shoulder,left_elbow,right_elbow,left_hip,right_hip","161-175,5","180-170,5","10-50,5","10-55,5","170-88,5","178-60,5",,,,,,,,,,
Machine Pull Down,"left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,spine","170-80,5","176-86,5","143-54,5","145-50,5",,,,,,,"18-23,1.5","170-160,5","169-150,5",,,
Bilateral Bayesian Curl,"left_elbow,right_elbow,left_wrist,right_wrist","163-53,5","167-15,5",,,,,,,,,,"155-170,5","179-165,5",,,
Dumbell Curl ,"left_elbow,right_elbow,left_wrist,right_wrist","172-13,5","170-13,5",,,,,,,,,,"165-175,5","160-168,5",,,
Hammer Curl,"left_elbow,right_elbow,left_wrist,right_wrist,left_shoulder,right_shoulder","179-15,5","177-7,5","14-12,2","14-13,2",,,,,,,,"175-170,5","175-178,5",,,
Preacher Curl,"left_elbow,right_elbow,left_wrist,right_wrist","0-173,5","1-173,5",,,,,,,,,,"167-178,5","155-172,5",,,
Chin Up,"left_elbow,right_elbow,left_wrist,right_wrist,left_shoulder,right_shoulder,head,spine","179-17,5","177-19,5","163-19,3","160-19,3",,,,,,,,"162-169,4","156-168,5",,,"75-70,5"
Cable Pushdown,"left_elbow,right_elbow,left_wrist,right_wrist,left_shoulder,right_shoulder","60-175,5","45-170,5","13-4,3","15-6,3",,,,,,,,"153-158,5","169-158,5",,,
Closegrip bench,"left_elbow,right_elbow,left_wrist,right_wrist","175-53,5","170-45,5",,,,,,,,,,"147-158,5","153-145,5",,,
Dips,"left_elbow,right_elbow,left_shoulder,right_shoulder,right_hip,left_hip,right_knee,left_knee","175-67,5","171-120,5","49-119,5","19-76,5","133-90,5","125-81,5","147-116,5",142-117,,,,,,,,
Overhead Extension,,,,,,,,,,,,,,,,,
Skull Crusher,,,,,,,,,,,,,,,,,
RearDelt,"left_shoulder,right_shoulder",,,"25-125,5","25-125,5",,,,,,,,,,,,
OverheadPress,"left_elbow,right_elbow,left_shoulder,right_shoulder","20-170,5","20-170,5","25-170,5","25-170,5",,,,,,,,,,,,
LateralRaise,"left_shoulder,right_shoulder",,,"15-105,5","15-105,5",,,,,,,,,,,,
BarbellRows,"left_elbow,right_elbow,left_shoulder,right_shoulder","175-5,5","175-5,5","15-135,5","15-135,5",,,,,,,,,,,,
ArnoldPress,"left_elbow,right_elbow,left_shoulder,right_shoulder","5-165,5","5-165,5","10-75,5","10-175,5",,,,,,,,,,,,
